Character Name,Type,Player Name,Role,Race,Gender,Division,Rank,Control,Fitness,Presence,Daring,Insight,Reason,Com,Sec,Science,Conn,Eng,Med,Species Ability,Focus 1,Focus 2,Focus 3,Focus 4,Focus 5,Focus 6,Focus 7,Focus 8,Traits etc.,Talent 1,Talent 2,Talent 3,Talent 4,Talent 5,Value 1,Value 2,Value 3,Value 4,Reputation,Environment,Traits,Upbringing,Weapon 1,Weapon 2,Weapon 3,Equipment 1,Equipment 2,Equipment 3,Equipment 4
Marlin Vionn,Support,Tina*,Science Officer,Trill,Female,Sciences,Lieutenant,8,8,10,8,9,11,2,1,4,1,2,3,Patient,Phylogenetics,Comparative Genomics,Nanotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,
Bof Salar,Holo,Eike*,Supplementary Diplomatic Hologram,Holo - Bolian,Male,Command,NA,9,7,9,8,10,8,4,3,2,1,2,1,NA,Diplomatie,Kulturwissenschaften,Kulinarik,,,,,,,Advanced Emergency Crew Hologram,,,,,,,,,,,,,,,,,,,
Anton von Rieppel,Holo,Tina*,Emergency Engineering Hologram,Holo - Mensch,Male,Engineering,NA,9,8,8,9,7,10,2,3,2,1,4,1,NA,Diagnostics,Troubleshooting,Structural Engineering,,,,,,,Advanced Emergency Crew Hologram,,,,,,,,,,,,,,,,,,,
Dr. A. Smith,Holo,Katja*,Emergency Medical Hologram,Holo - Mensch,Male,Medical,NA,10,8,7,9,8,9,1,1,3,2,2,4,NA,Emergency Medicine,Surgery,"
Xenobiology",,,,,,,,,,,,"I'm right, you're an idiot",Acerbic and ill-tempered program,,,,,,,,,,,,,
Siedlecki ,Holo,Silke*,Emergency Security Hologram,Holo- Mensch,Female,Security ,NA,8,9,8,9,10,7,1,4,2,3,2,1,NA,Handphaser,unbewaffneter Nahkampf,Recht & Gesetz,,,,,,,Allzeit bereit,,,,,,,,,,,,,,,,,,,
AyESHa,Holo,Kerstin*,Emergency Science Hologram,Holo-Mensch,Female,Sciences,Ensign,10,7,8,9,8,11,2,2,4,1,3,1,NA,Chemistry,Archeology,Subspace Theory,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson,Support,Katja*,Engineering Officer,Human,Male,Operations,Lt. JG,11,9,9,9,8,8,1,2,3,2,4,1,NA,Energy Systems,Computer Analysis,Holodeck,,,,,,,,,,,,,,,,,,,,,,,,,,
Mila,Support,Tina*,Navigator,Cardassianer,weiblich,Operations,Ensign,9,9,7,10,8,8,1,2,1,4,2,3,Healthy Suspicions,Small Craft Maneuvers,Navigation,Medical Emergencies,Guns,,,,,Cardassian,Combat Stimulants,,,,,"So wütend wie ein Klingone, so gerissen wie ein Romulaner",Ich muss um jeden Preis wieder zu meiner Familie heim kommen!,,,,,,,,,,,,,
Kael,Support,Eike*,Chief of Security,Vulkanier,männlich,Operations,Lt. JG,8,9,7,10,8,9,1,4,1,2,3,2,Mental Discipline,Sniper,Small units tactics,Martial Arts,Crowd Control,,,,,Vulcan,Well-maintained arsenal,,,,,Disziplin löst die Hälfte aller Probleme.,"Gewalt muss überzeugend brutal sein, um auch effizient zu sein.",,,,,,,,,,,,,
Brongu,Support,Katja*,Intelligence Agent,Ferengi,männlich,Wissenschaft,Ensign,10,8,8,7,9,9,2,4,3,1,2,1,The great material continuum,Demolitions,Counter Intelligence,Hacking,Black market personalities,,,,,Ferengi,Well-informed,,,,,Starfleet hat keine Ahnung vom echten Leben da draußen.,"Wenn was wertvolles rumliegen gelassen wird, vermisst es keiner.",,,,,,,,,,,,,
Parretet,Support,Silke*,Operations Manager,Tellarit,weiblich,Operations,Ensign,10,8,7,9,9,8,1,4,2,2,3,1,Sturdy,Automated weapon systems,Surveillance systems,Emergency repairs,Combat rifles,,,,,Tellarite,Tactical Countermeasures,,,,,"Wenn Du willst, das was richtig gemacht wird, mach’s selbst!",Vertraue niemandem!,,,,,,,,,,,,,
